wl,n,wl,k,,,
1.42133581,1.49357,,,,,
1.42478674,1.49352,,,,,
1.42823804,1.49348,,,,,
1.43168958,1.49343,,,,,
1.4351416,1.49338,,,,,
1.43859399,1.49334,,,,,
1.44204663,1.49329,,,,,
1.44549988,1.49324,,,,,
1.44895337,1.4932,,,,,
1.45240735,1.49315,,,,,
1.45586157,1.4931,,,,,
1.45931628,1.49306,,,,,
1.46277148,1.49301,,,,,
1.46622693,1.49296,,,,,
1.46968286,1.49291,,,,,
1.47313892,1.49286,,,,,
1.47659558,1.49282,,,,,
1.48005261,1.49277,,,,,
1.48351001,1.49272,,,,,
1.4869679,1.49267,,,,,
1.49042603,1.49262,,,,,
1.49388452,1.49257,,,,,
1.49734351,1.49252,,,,,
1.50080286,1.49247,,,,,
1.50426245,1.49242,,,,,
1.50772253,1.49237,,,,,
1.51118311,1.49232,,,,,
1.51464392,1.49227,,,,,
1.51810523,1.49222,,,,,
1.52156677,1.49217,,,,,
1.52502881,1.49212,,,,,
1.52849121,1.49207,,,,,
1.53195398,1.49202,,,,,
1.53541711,1.49197,,,,,
1.53888062,1.49192,,,,,
1.5423446,1.49186,,,,,
1.54580884,1.49181,,,,,
1.54927368,1.49176,,,,,
1.55273865,1.49171,,,,,
1.5562041,1.49165,,,,,
1.55966992,1.4916,,,,,
1.56313611,1.49154,,,,,
1.56660278,1.49149,,,,,
1.5700697,1.49144,,,,,
1.57353711,1.49138,,,,,
1.57700488,1.49133,,,,,
1.58047302,1.49127,,,,,
1.58394153,1.49122,,,,,
1.5874104,1.49116,,,,,
1.59087964,1.49111,,,,,
1.59434937,1.49105,,,,,
1.59781934,1.491,,,,,
1.60128979,1.49094,,,,,
1.60476062,1.49088,,,,,
1.60823169,1.49083,,,,,
1.61170337,1.49077,,,,,
1.61517529,1.49071,,,,,
1.61864758,1.49065,,,,,
1.62212036,1.4906,,,,,
1.62559338,1.49054,,,,,
1.62906689,1.49048,,,,,
1.63254077,1.49042,,,,,
1.63601489,1.49036,,,,,
1.6394895,1.4903,,,,,
1.64296448,1.49024,,,,,
1.64643982,1.49018,,,,,
1.64991565,1.49012,,,,,
1.65339185,1.49006,,,,,
1.65686816,1.49,,,,,
1.66034509,1.48994,,,,,
1.66382227,1.48988,,,,,
1.66730005,1.48981,,,,,
1.67077795,1.48975,,,,,
1.67425647,1.48969,,,,,
1.67773511,1.48963,,,,,
1.68121423,1.48956,,,,,
1.68469397,1.4895,,,,,
1.68817383,1.48943,,,,,
1.726,1.488636447,,,,,
1.769,1.488102157,,,,,
1.812,1.48756072,,,,,
1.854,1.487024583,,,,,
1.897,1.486467862,,,,,
1.94,1.485902908,,,,,
1.983,1.485329434,,,,,
2.026,1.484747181,,,,,
2.069,1.484155919,,,,,
2.112,1.483555439,,,,,
2.155,1.482945553,,,,,
2.198,1.482326092,,,,,
2.241,1.481696902,,,,,
2.283,1.481072821,,,,,
2.326,1.480424005,,,,,
2.369,1.479765082,,,,,
2.412,1.479095947,,,,,
2.455,1.478416507,,,,,
2.498,1.477726671,,,,,
2.541,1.47702636,,,,,
2.584,1.4763155,,,,,
2.627,1.475594023,,,,,
2.67,1.474861868,,,,,
2.712,1.474136375,,,,,
2.755,1.473382945,,,,,
2.798,1.472618677,,,,,
