wl,n,wl,k,
6.350E+00,4.17E+00,6.350E+00,4.47E+01,
6.420E+00,4.25E+00,6.420E+00,4.51E+01,
6.480E+00,4.33E+00,6.480E+00,4.55E+01,
6.550E+00,4.42E+00,6.550E+00,4.60E+01,
6.610E+00,4.51E+00,6.610E+00,4.64E+01,
6.680E+00,4.60E+00,6.680E+00,4.69E+01,
6.750E+00,4.69E+00,6.750E+00,4.74E+01,
6.820E+00,4.79E+00,6.820E+00,4.79E+01,
6.890E+00,4.89E+00,6.890E+00,4.84E+01,
6.970E+00,4.99E+00,6.970E+00,4.89E+01,
7.040E+00,5.10E+00,7.040E+00,4.94E+01,
7.120E+00,5.21E+00,7.120E+00,4.99E+01,
7.200E+00,5.32E+00,7.200E+00,5.04E+01,
7.280E+00,5.44E+00,7.280E+00,5.10E+01,
7.360E+00,5.56E+00,7.360E+00,5.16E+01,
7.450E+00,5.68E+00,7.450E+00,5.21E+01,
7.540E+00,5.81E+00,7.540E+00,5.27E+01,
7.620E+00,5.94E+00,7.620E+00,5.33E+01,
7.720E+00,6.08E+00,7.720E+00,5.39E+01,
7.810E+00,6.23E+00,7.810E+00,5.45E+01,
7.900E+00,6.37E+00,7.900E+00,5.52E+01,
8.000E+00,6.53E+00,8.000E+00,5.58E+01,
8.100E+00,6.68E+00,8.100E+00,5.65E+01,
8.200E+00,6.85E+00,8.200E+00,5.72E+01,
8.310E+00,7.02E+00,8.310E+00,5.79E+01,
8.420E+00,7.20E+00,8.420E+00,5.86E+01,
8.530E+00,7.38E+00,8.530E+00,5.94E+01,
8.640E+00,7.57E+00,8.640E+00,6.01E+01,
8.760E+00,7.77E+00,8.760E+00,6.09E+01,
8.880E+00,7.97E+00,8.880E+00,6.17E+01,
9.000E+00,8.19E+00,9.000E+00,6.25E+01,
9.130E+00,8.41E+00,9.130E+00,6.33E+01,
9.260E+00,8.64E+00,9.260E+00,6.42E+01,
9.390E+00,8.88E+00,9.390E+00,6.51E+01,
