wl,n,wl,k
15.25,1.60983,15.25,1.02E-02
15.431,1.60548,15.431,1.02E-02
15.617,1.60226,15.617,1.14E-02
15.808,1.60073,15.808,1.29E-02
16.003,1.59779,16.003,1.12E-02
16.203,1.5926,16.203,8.26E-03
16.408,1.58978,16.408,9.95E-03
16.618,1.58838,16.618,1.43E-02
16.834,1.58188,16.834,1.71E-02
17.056,1.57366,17.056,2.20E-02
17.283,1.56456,17.283,2.93E-02
17.517,1.55503,17.517,5.21E-02
17.757,1.5723,17.757,9.32E-02
18.003,1.62441,18.003,1.07E-01
18.257,1.66031,18.257,7.56E-02
18.518,1.6584,18.518,4.25E-02
18.786,1.64707,18.786,2.66E-02
19.062,1.6408,19.062,1.91E-02
19.347,1.635,19.347,1.50E-02
19.64,1.62695,19.64,1.90E-02
19.942,1.6239,19.942,2.13E-02
