Wavelength (um),Rel. global irradiance
1.166,3.75E+02
1.167,4.10E+02
1.168,4.20E+02
1.169,4.23E+02
1.17,4.59E+02
1.171,4.48E+02
1.172,4.55E+02
1.173,4.56E+02
1.174,3.37E+02
1.175,4.52E+02
1.176,4.77E+02
1.177,4.72E+02
1.178,3.60E+02
1.179,4.84E+02
1.18,4.41E+02
1.181,4.55E+02
1.182,3.23E+02
1.183,4.39E+02
1.184,4.20E+02
1.185,4.07E+02
1.186,4.77E+02
1.187,4.56E+02
1.188,3.35E+02
1.189,4.16E+02
1.19,4.62E+02
1.191,4.47E+02
1.192,4.73E+02
1.193,4.54E+02
1.194,4.69E+02
1.195,4.47E+02
1.196,4.31E+02
1.197,4.77E+02
1.198,4.34E+02
1.199,3.65E+02
1.2,4.48E+02
1.201,4.37E+02
1.202,4.37E+02
1.203,4.34E+02
1.204,3.62E+02
1.205,4.37E+02
1.206,4.81E+02
1.207,4.30E+02
1.208,4.33E+02
1.209,4.14E+02
1.21,4.53E+02
1.211,4.22E+02
1.212,4.25E+02
1.213,4.70E+02
1.214,4.34E+02
1.215,4.28E+02
1.216,4.66E+02
1.217,4.55E+02
1.218,4.59E+02
1.219,4.47E+02
1.22,4.58E+02
1.221,4.65E+02
1.222,4.51E+02
1.223,4.44E+02
1.224,4.48E+02
1.225,4.62E+02
1.226,4.68E+02
1.227,4.33E+02
1.228,4.67E+02
1.229,4.67E+02
1.23,4.60E+02
1.231,4.72E+02
1.232,4.66E+02
1.233,4.54E+02
1.234,4.70E+02
1.235,4.65E+02
1.236,4.69E+02
1.237,4.63E+02
1.238,4.68E+02
1.239,4.63E+02
1.24,4.61E+02
1.241,4.62E+02
1.242,4.62E+02
1.243,4.58E+02
1.244,4.55E+02
1.245,4.57E+02
1.246,4.59E+02
1.247,4.57E+02
1.248,4.59E+02
1.249,4.60E+02
1.25,4.57E+02
1.251,4.53E+02
1.252,4.51E+02
1.253,4.48E+02
1.254,4.44E+02
1.255,4.51E+02
1.256,4.40E+02
1.257,4.35E+02
1.258,4.45E+02
1.259,4.27E+02
1.26,4.31E+02
1.261,4.11E+02
1.262,3.96E+02
1.263,4.00E+02
1.264,3.71E+02
1.265,3.96E+02
1.266,3.85E+02
1.267,3.88E+02
1.268,3.71E+02
1.269,2.47E+02
1.27,3.87E+02
1.271,4.08E+02
1.272,4.09E+02
1.273,4.06E+02
1.274,4.06E+02
1.275,4.12E+02
1.276,4.17E+02
1.277,4.20E+02
1.278,4.28E+02
1.279,4.25E+02
1.28,4.22E+02
1.281,4.13E+02
1.282,3.73E+02
1.283,4.07E+02
1.284,4.21E+02
1.285,4.24E+02
1.286,4.27E+02
1.287,4.22E+02
1.288,4.20E+02
1.289,4.09E+02
1.29,4.13E+02
1.291,4.18E+02
1.292,3.96E+02
1.293,4.13E+02
1.294,4.04E+02
1.295,4.05E+02
1.296,3.90E+02
1.297,3.71E+02
1.298,3.92E+02
1.299,4.09E+02
1.3,3.53E+02
1.301,3.62E+02
1.302,3.92E+02
1.303,3.46E+02
1.304,3.01E+02
1.305,3.84E+02
1.306,3.85E+02
1.307,3.06E+02
1.308,3.47E+02
1.309,3.84E+02
1.31,3.01E+02
1.311,3.34E+02
1.312,3.33E+02
1.313,3.14E+02
1.314,2.88E+02
1.315,2.86E+02
1.316,3.24E+02
1.317,3.12E+02
1.318,3.33E+02
1.319,2.69E+02
1.32,2.59E+02
1.321,2.99E+02
1.322,3.02E+02
1.323,2.33E+02
1.324,2.62E+02
1.325,3.22E+02
1.326,2.81E+02
1.327,2.66E+02
1.328,2.35E+02
1.329,1.78E+02
1.33,2.29E+02
1.331,1.45E+02
1.332,1.46E+02
1.333,2.03E+02
1.334,1.69E+02
1.335,2.31E+02
1.336,1.83E+02
1.337,1.65E+02
1.338,1.78E+02
1.339,1.77E+02
1.34,1.68E+02
1.341,1.70E+02
1.342,1.78E+02
1.343,1.27E+02
1.344,7.56E+01
1.345,1.09E+02
1.346,5.82E+01
1.347,6.01E+01
1.348,4.75E+00
1.349,1.62E+01
1.35,1.60E+01
1.351,4.63E+00
1.352,1.52E+00
1.353,9.61E-02
1.354,2.90E-01
1.355,3.60E-03
1.356,4.81E-02
1.357,7.18E-02
1.358,4.19E-03
1.359,7.34E-04
1.36,2.14E-03
1.361,4.81E-06
1.362,1.81E-08
1.363,3.16E-03
1.364,1.36E-03
1.365,9.08E-09
1.366,1.28E-02
1.367,4.98E-03
1.368,1.48E-10
1.369,5.17E-04
1.37,2.92E-04
1.371,1.97E-05
1.372,2.75E-03
1.373,4.44E-02
1.374,1.79E-01
1.375,3.23E-01
1.376,2.57E-01
1.377,1.23E-01
1.378,1.11E+00
1.379,5.22E-02
1.38,8.16E-02
1.381,2.37E-03
1.382,2.57E-03
1.383,4.40E-05
1.384,6.17E-04
1.385,2.09E-03
1.386,2.52E-03
1.387,1.99E-01
1.388,4.03E-03
1.389,5.81E-01
